network,year,transition,stdiv
SCAN,2008,End of wetting,44.9621212528654
SCAN,2009,End of wetting,52.6553509481475
SCAN,2010,End of wetting,55.3853210568171
SCAN,2011,End of wetting,80.0117388707608
SCAN,2012,End of wetting,63.5207769597441
SCAN,2013,End of wetting,66.9464490547628
SCAN,2014,End of wetting,59.2773374275373
SCAN,2015,End of wetting,62.8188459434064
SCAN,2016,End of wetting,66.6550919057659
SCAN,2017,End of wetting,53.7389705369224
SCAN,2018,End of wetting,40.4482992133345
SCAN,2019,End of wetting,35.2023821152114
Oznet,2006,Start of drying,7.10787782720821
Oznet,2007,Start of drying,12.9392150799079
Oznet,2008,Start of drying,36.790103153119
Oznet,2009,Start of drying,47.5896429581767
Oznet,2010,Start of drying,60.732397631062
Oznet,2011,Start of drying,26.2182070590744
Oznet,2012,Start of drying,36.9155007964
Oznet,2013,Start of drying,45.7239459439747
Oznet,2014,Start of drying,45.9856480878489
Oznet,2016,Start of drying,25.025019691341
Oznet,2017,Start of drying,33.3784995605309
Oznet,2018,Start of drying,27.4760736255694
USCRN,2009,Start of drying,0
USCRN,2010,Start of drying,56.2930642345751
USCRN,2011,Start of drying,57.9382557353005
USCRN,2012,Start of drying,41.7314185925511
USCRN,2013,Start of drying,58.6385815669786
USCRN,2014,Start of drying,49.9365977603609
USCRN,2015,Start of drying,48.907075968184
USCRN,2016,Start of drying,66.8029412615466
USCRN,2017,Start of drying,61.239493546654
USCRN,2018,Start of drying,34.3513512085814
SCAN,2000,Start of drying,89.7833041387094
SCAN,2001,Start of drying,53.1940527056071
SCAN,2002,Start of drying,62.0811142714337
SCAN,2003,Start of drying,32.9491328178235
SCAN,2004,Start of drying,20.7788886504571
SCAN,2005,Start of drying,48.4331418295381
SCAN,2006,Start of drying,43.8243666294258
SCAN,2007,Start of drying,48.9146794027743
SCAN,2008,Start of drying,44.9621212528654
SCAN,2009,Start of drying,52.6553509481475
SCAN,2010,Start of drying,55.3853210568171
SCAN,2011,Start of drying,80.0117388707608
SCAN,2012,Start of drying,63.5207769597441
SCAN,2013,Start of drying,66.9464490547628
SCAN,2014,Start of drying,59.2773374275373
SCAN,2015,Start of drying,62.8188459434064
SCAN,2016,Start of drying,66.6550919057659
SCAN,2017,Start of drying,53.7389705369224
SCAN,2018,Start of drying,40.4482992133345
SCAN,2019,Start of drying,35.2023821152114
Oznet,2006,End of drying,7.10787782720821
Oznet,2007,End of drying,12.9392150799079
Oznet,2008,End of drying,36.790103153119
Oznet,2009,End of drying,47.5896429581767
Oznet,2010,End of drying,60.732397631062
Oznet,2011,End of drying,26.2182070590744
Oznet,2012,End of drying,36.9155007964
Oznet,2013,End of drying,45.7239459439747
Oznet,2014,End of drying,45.9856480878489
Oznet,2016,End of drying,25.025019691341
Oznet,2017,End of drying,33.3784995605309
Oznet,2018,End of drying,27.4760736255694
USCRN,2009,End of drying,0
USCRN,2010,End of drying,56.2930642345751
USCRN,2011,End of drying,57.9382557353005
USCRN,2012,End of drying,41.7314185925511
USCRN,2013,End of drying,58.6385815669786
USCRN,2014,End of drying,49.9365977603609
USCRN,2015,End of drying,48.907075968184
USCRN,2016,End of drying,66.8029412615466
USCRN,2017,End of drying,61.239493546654
USCRN,2018,End of drying,34.3513512085814
SCAN,2000,End of drying,89.7833041387094
SCAN,2001,End of drying,53.1940527056071
SCAN,2002,End of drying,62.0811142714337
SCAN,2003,End of drying,32.9491328178235
SCAN,2004,End of drying,20.7788886504571
SCAN,2005,End of drying,48.4331418295381
SCAN,2006,End of drying,43.8243666294258
SCAN,2007,End of drying,48.9146794027743
SCAN,2008,End of drying,44.9621212528654
SCAN,2009,End of drying,52.6553509481475
SCAN,2010,End of drying,55.3853210568171
SCAN,2011,End of drying,80.0117388707608
SCAN,2012,End of drying,63.5207769597441
SCAN,2013,End of drying,66.9464490547628
SCAN,2014,End of drying,59.2773374275373
SCAN,2015,End of drying,62.8188459434064
SCAN,2016,End of drying,66.6550919057659
SCAN,2017,End of drying,53.7389705369224
SCAN,2018,End of drying,40.4482992133345
SCAN,2019,End of drying,35.2023821152114
all networks average,all year average,all season average,46.7452923099998
